text,category
Garbage not picked from our lane since 4 days,waste
Dustbin near society is overflowing badly,waste
Garbage truck skipped our area again today,waste
So much waste lying near the corner shop,waste
Bad smell coming from garbage pile,waste
Garbage bags torn by dogs everywhere,waste
No one comes to collect garbage regularly,waste
Garbage bin is broken and waste is spreading,waste
Waste dumped near drain causing smell,waste
Garbage collection timing is very late,waste
Overflowing dustbin near bus stop,waste
Garbage thrown openly near park,waste
Waste lying outside school gate,waste
Garbage not cleared after market hours,waste
Plastic waste all over road,waste
Garbage truck comes only once a week,waste
Waste is burning near open area,waste
Garbage near temple causing issue,waste
No garbage collection from society,waste
Dustbin missing from our area,waste
Garbage is attracting mosquitoes,waste
Waste lying near drainage,waste
Overflowing garbage creating traffic,waste
Waste not picked after festival,waste
Garbage smell unbearable,waste
Garbage thrown near water tap,waste
Waste collection irregular,waste
Garbage pile near hospital,waste
Waste dumped illegally at night,waste
Garbage not cleaned near shops,waste
Waste lying for weeks,waste
Garbage bin full from morning,waste
Garbage collection staff not coming,waste
Waste thrown by roadside vendors,waste
Garbage near ATM area,waste
Waste near bus depot,waste
Overflowing waste near society gate,waste
Garbage issue reported many times,waste
Waste attracting animals,waste
Garbage not picked on holidays,waste
Garbage problem every week,waste
Waste blocking footpath,waste
Garbage dumped near wall,waste
Waste near playground,waste
Garbage not cleared after rain,waste
Waste creating health issue,waste
Garbage problem since long time,waste
Waste lying near main road,waste
Garbage collection stopped suddenly,waste
Waste everywhere in our street,waste

No water supply since yesterday,water
Water pressure very low,water
Dirty water coming from tap,water
Water leakage near my house,water
No water in morning hours,water
Water supply only for 10 minutes,water
Pipeline broken near road,water
Water tank overflowing,waste
Water coming with mud,water
Water smelling bad,water
No water in whole building,water
Water supply irregular,water
Water pressure drops at night,water
Leakage wasting lot of water,water
No water on upper floors,water
Water supply stopped suddenly,water
Water coming very slowly,water
Tap water yellow in color,water
Water pipeline damaged,water
Water shortage in area,water
Water not coming since 2 days,water
Water supply timing changed,water
Water problem reported earlier,water
Water coming only once a day,water
No drinking water available,water
Water motor not working,water
Leakage from main pipeline,water
Water flow very weak,water
Water supply missed today,water
Water issue daily,waste
Water filled pothole due to leakage,water
Water pipe broken near society,water
Water problem in summer,water
Water overflow near road,water
No water in public tap,water
Water connection broken,water
Water supply delayed,water
Water leakage causing mud,water
Water problem after repair,water
Water not reaching our area,water
Water shortage every morning,water
Water problem since last week,water
Water coming dirty in evening,water
Water pressure problem,waste
Water supply very unreliable,water
No water on weekends,water
Water complaint ignored,water
Water flow uneven,water
Water tap broken,water
Water leaking from valve,water

Big pothole in front of my house,road
Road is full of holes,road
Pothole causing accidents,road
Road damaged after rain,road
Broken road near market,road
Road condition very bad,road
Huge pothole near school,road
Road cracked everywhere,road
Pothole filled with water,road
Road uneven and dangerous,road
Two wheeler slipped on bad road,road
Road repair incomplete,road
Road dug and left open,road
Manhole open on road,road
Road sinking near corner,road
New road already broken,road
Road has deep cracks,road
Pothole near bus stand,road
Road damage causing traffic,road
Road broken near hospital,road
Pothole not fixed since months,road
Road peeling off,road
Broken road near bridge,road
Road damaged by heavy trucks,road
Road full of mud,road
Road has loose gravel,road
Road dangerous at night,road
Road issue reported many times,road
Pothole near society gate,road
Road broken after pipeline work,road
Road repair pending,road
Uneven road near turn,road
Road surface damaged badly,road
Open pit on road,road
Road filled with water,road
Road collapsed partially,road
Road edges broken,road
Road condition worst,road
Pothole causing jam,road
Road broken near junction,road
Road dug for cable work,road
Road not safe for kids,road
Road broken near temple,road
Road issue unresolved,road
Cracked road causing noise,road
Road damage increasing,road
Road broken near park,road
Road surface gone,road
Road problem daily,road
Road completely damaged,road

Streetlight not working since days,streetlight
Streetlight broken near park,streetlight
No streetlight in our lane,streetlight
Light pole fallen,streetlight
Streetlight blinking,streetlight
Complete darkness at night,streetlight
Streetlight near school off,streetlight
Streetlight near bus stop off,streetlight
Light not working near society,streetlight
Streetlight cable hanging,streetlight
Streetlight pole damaged,streetlight
Streetlight issue reported earlier,streetlight
Light not working on main road,streetlight
Streetlight missing in area,streetlight
Light flickering continuously,streetlight
Streetlight broken after storm,streetlight
Streetlight off since months,streetlight
No light near playground,streetlight
Streetlight near hospital off,streetlight
Light pole leaning dangerously,streetlight
Streetlight not repaired,streetlight
No streetlight near ATM,streetlight
Light off at night daily,streetlight
Streetlight wiring exposed,streetlight
Light issue causing fear,streetlight
Streetlight broken near crossing,streetlight
Streetlight not working properly,streetlight
Light pole rusted,streetlight
Streetlight on and off,streetlight
Streetlight off in whole street,streetlight
No lighting near bus depot,streetlight
Streetlight damaged by vehicle,streetlight
Light not working near temple,streetlight
Streetlight off in rainy season,streetlight
Light pole broken at base,streetlight
Streetlight near school gate off,streetlight
Streetlight causing darkness,streetlight
Streetlight needs repair,streetlight
Streetlight broken for weeks,streetlight
Streetlight not functional,streetlight
No light near footpath,streetlight
Streetlight problem unresolved,streetlight
Streetlight issue frequent,streetlight
Light not coming from pole,streetlight
Streetlight off since long time,streetlight
Streetlight broken near shop,streetlight
Light issue every night,streetlight
Streetlight cable cut,streetlight
Streetlight issue daily,streetlight
Streetlight not replaced,streetlight

Drainage overflowing on road,sanitation
Public toilet very dirty,sanitation
Sewer line blocked,sanitation
Bad smell from drainage,sanitation
Open drain near houses,sanitation
Sewer water on road,sanitation
Toilet near market unusable,sanitation
Drain cleaning not done,sanitation
Sewer water entering homes,sanitation
Drainage issue causing mosquitoes,sanitation
Manhole cover missing,sanitation
Drain overflow after rain,sanitation
Toilet locked always,sanitation
Drain blocked with waste,sanitation
Sewer problem since days,sanitation
Drainage smell unbearable,sanitation
Public toilet broken,sanitation
Drain water stagnated,sanitation
Sewer line damaged,sanitation
Drain overflow daily,sanitation
Drainage problem reported earlier,sanitation
Toilet not cleaned regularly,sanitation
Open sewer causing danger,sanitation
Drain clogged near road,sanitation
Sewer backup in house,sanitation
Drain water flowing on street,sanitation
Public toilet lacks water,sanitation
Drain broken near school,sanitation
Sewer water near shops,sanitation
Drain not covered properly,sanitation
Drain cleaning delayed,sanitation
Toilet dirty and smelling,sanitation
Sewer overflow near park,sanitation
Drainage issue unresolved,sanitation
Open manhole causing risk,sanitation
Drain blocked after rain,sanitation
Toilet maintenance poor,sanitation
Drain filled with garbage,sanitation
Sewer smell everywhere,sanitation
Drain overflow near hospital,sanitation
Public toilet unusable,sanitation
Drain water entering shops,sanitation
Sewer line leaking,sanitation
Drain blocked near society,sanitation
Public toilet broken door,sanitation
Drainage water stagnant,sanitation
Drain overflow after cleaning,sanitation
Sewer water problem daily,sanitation
Drain cleaning required,sanitation
Sanitation issue since weeks,sanitation